T(K),B(Oe),B(T),Cp(mu J/K)
1.9644345,7999.757,0.7999757,16.148718
1.988757,7999.757,0.7999757,15.853379
2.0126869,7999.757,0.7999757,15.657214
2.036003,7999.757,0.7999757,15.418175
2.0589893,7999.757,0.7999757,15.16126
2.0814093,7999.757,0.7999757,14.875366
2.1032445,7999.757,0.7999757,14.7087
2.1246148,7999.757,0.7999757,14.451608
2.1454037,7999.757,0.7999757,14.275768
2.1657118,7999.757,0.7999757,14.105336
2.185295,7999.757,0.7999757,13.919906
2.2044159,7999.757,0.7999757,13.637177
2.222918,7999.757,0.7999757,13.562391
2.2408151,7999.757,0.7999757,13.348044
2.2582926,7999.757,0.7999757,13.121263
2.275068,7999.757,0.7999757,12.941507
2.2913627,7999.757,0.7999757,12.797741
2.3069034,7999.757,0.7999757,12.621248
2.3221149,7999.757,0.7999757,12.504628
2.3366056,7999.757,0.7999757,12.427179
2.3504961,7999.757,0.7999757,12.215822
2.3639341,7999.757,0.7999757,12.054896
2.376845,7999.757,0.7999757,11.833443
2.3893651,7999.757,0.7999757,11.634836
2.4012815,7999.757,0.7999757,11.400929
2.4126408,7999.757,0.7999757,11.420422
2.4235139,7999.757,0.7999757,11.355126
2.4340275,7999.757,0.7999757,11.15538
2.4439527,7999.757,0.7999757,11.044387
2.4533854,7999.757,0.7999757,10.821616
2.4626339,7999.757,0.7999757,10.326841
2.4715978,7999.757,0.7999757,10.102954
2.4800755,7999.757,0.7999757,9.9859667
2.4883,7999.757,0.7999757,9.5004425
2.4959335,7999.757,0.7999757,9.6409288
2.5031876,7999.757,0.7999757,9.8724352
2.5101028,7999.757,0.7999757,9.468806
2.5165965,7999.757,0.7999757,9.281574
2.523004,7999.757,0.7999757,8.9112329
2.5283955,7999.757,0.7999757,8.8691396
2.5341953,7999.757,0.7999757,8.574034
2.5396013,7999.757,0.7999757,8.6025491
2.5448818,7999.757,0.7999757,7.6615067
2.5497033,7999.757,0.7999757,7.5184188
2.5542077,7999.757,0.7999757,6.9080543
2.5590549,7999.757,0.7999757,6.8929512
2.5631088,7999.757,0.7999757,6.7820703
2.5673069,7999.757,0.7999757,6.5108286
2.5706737,7999.757,0.7999757,6.111164
2.5743267,7999.757,0.7999757,5.849512
2.5778041,7999.757,0.7999757,5.2627183
2.5809544,7999.757,0.7999757,4.6386352
2.5840903,7999.757,0.7999757,4.3819724
2.5869413,7999.757,0.7999757,3.6875586
2.589914,7999.757,0.7999757,3.3367092
